Sample_ID,Identification,Freezer,Rack,Box,Position,Source,Source_number,Organ/tissue,Site/Population,Lat,Long,Curator,Year,Wild or Lab,Comment,Duplicate,Description
RT 247a AvrPphB2,AvrPpHB2 in P. syringae strains,Z-SCI,13,61,1,,,,,,,Joel Kniskern,5/7/08,L,
LP 900.1a AvrPphB2,AvrPpHB2 in P. syringae strains,Z-SCI,13,61,2,,,,,,,Joel Kniskern,5/7/08,L,
Knox 244a AvrPphB2,AvrPpHB2 in P. syringae strains,Z-SCI,13,61,3,,,,,,,Joel Kniskern,5/7/08,L,
Knox 843.1a AvrPphB2,AvrPpHB2 in P. syringae strains,Z-SCI,13,61,4,,,,,,,Joel Kniskern,5/7/08,L,
Knox 645a AvrPphB2,AvrPpHB2 in P. syringae strains,Z-SCI,13,61,5,,,,,,,Joel Kniskern,5/7/08,L,
Psm ES4326 AvrPphB2,AvrPpHB2 in P. syringae strains,Z-SCI,13,61,6,,,,,,,Joel Kniskern,5/7/08,L,
LP 217a AvrPphB2,AvrPpHB2 in P. syringae strains,Z-SCI,13,61,7,,,,,,,Joel Kniskern,5/7/08,L,
LP 613a AvrPphB2,AvrPpHB2 in P. syringae strains,Z-SCI,13,61,8,,,,,,,Joel Kniskern,5/7/08,L,
,empty,Z-SCI,13,61,9,,,,,,,,,,
Psg 3554 AvrPphB2,AvrPpHB2 in P. syringae pv glycin,Z-SCI,13,61,10,,,,,,,Joel Kniskern,5/7/08,L,
RT 247a AvrPphB,AvrPpHB in P. syringae strains,Z-SCI,13,61,11,,,,,,,Joel Kniskern,5/7/08,L,
LP 900.1a AvrPphB,AvrPpHB in P. syringae strains,Z-SCI,13,61,12,,,,,,,Joel Kniskern,5/7/08,L,
Knox 244a AvrPphB,AvrPpHB in P. syringae strains,Z-SCI,13,61,13,,,,,,,Joel Kniskern,5/7/08,L,
Knox 843.1a AvrPphB,AvrPpHB in P. syringae strains,Z-SCI,13,61,14,,,,,,,Joel Kniskern,5/7/08,L,
Knox 645a AvrPphB,AvrPpHB in P. syringae strains,Z-SCI,13,61,15,,,,,,,Joel Kniskern,5/7/08,L,
Psm ES4326 AvrPphB,AvrPpHB in P. syringae strains,Z-SCI,13,61,16,,,,,,,Joel Kniskern,5/7/08,L,
LP 217a AvrPphB,AvrPpHB in P. syringae strains,Z-SCI,13,61,17,,,,,,,Joel Kniskern,5/7/08,L,
LP 613a AvrPphB,AvrPpHB in P. syringae strains,Z-SCI,13,61,18,,,,,,,Joel Kniskern,5/7/08,L,
,empty,Z-SCI,13,61,19,,,,,,,,,,
Psg 3554 AvrPphB,AvrPpHB in P. syringae strains,Z-SCI,13,61,20,,,,,,,Joel Kniskern,5/7/08,L,
RT 247a pME 6010 empty,empty pME6010 in P. syringae strains,Z-SCI,13,61,21,,,,,,,Joel Kniskern,5/7/08,L,
LP 900.1a pME 6010 empty,empty pME6010 in P. syringae strains,Z-SCI,13,61,22,,,,,,,Joel Kniskern,5/7/08,L,
Knox 244a pME 6010 empty,empty pME6010 in P. syringae strains,Z-SCI,13,61,23,,,,,,,Joel Kniskern,5/7/08,L,
Knox 843.1a pME 6010 empty,empty pME6010 in P. syringae strains,Z-SCI,13,61,24,,,,,,,Joel Kniskern,5/7/08,L,
Knox 645a pME 6010 empty,empty pME6010 in P. syringae strains,Z-SCI,13,61,25,,,,,,,Joel Kniskern,5/7/08,L,
Psm ES4326 pME 6010 empty,empty pME6010 in P. syringae strains,Z-SCI,13,61,26,,,,,,,Joel Kniskern,5/7/08,L,
LP 217a pME 6010 empty,empty pME6010 in P. syringae strains,Z-SCI,13,61,27,,,,,,,Joel Kniskern,5/7/08,L,
